CASCADE_ID,HRU_UP_ID,CASCADE_TYPE_UP,UP_ROW,UP_COL,UP_X,UP_Y,HRU_DOWN_ID,CASCADE_TYPE_DOWN,DOWN_ROW,DOWN_COL,DOWN_X,DOWN_Y,CASC_PCT,HRU_STRM_SEG_DOWN,HRU_RCH_DOWN
      1667,      2829,1,        36,        64,   220077.7968750000,  4369994.0000000000,      2830,1,        36,        65,   220167.7968750000,  4369994.0000000000,0.500000000000,         0,         0
      1668,      2830,1,        36,        65,   220167.7968750000,  4369994.0000000000,      2909,1,        37,        65,   220167.7968750000,  4369904.0000000000,1.000000000000,         0,         0
      1669,      2837,1,        36,        72,   220797.7968750000,  4369994.0000000000,      2916,1,        37,        72,   220797.7968750000,  4369904.0000000000,0.500000000000,         0,         0
      1670,      2837,1,        36,        72,   220797.7968750000,  4369994.0000000000,      2836,1,        36,        71,   220707.7968750000,  4369994.0000000000,0.500000000000,         0,         0
      1671,      2917,1,        37,        73,   220887.7968750000,  4369904.0000000000,      2996,1,        38,        73,   220887.7968750000,  4369814.0000000000,0.500000000000,         0,         0
      1672,      2917,1,        37,        73,   220887.7968750000,  4369904.0000000000,      2916,1,        37,        72,   220797.7968750000,  4369904.0000000000,0.500000000000,         0,         0
      1673,      3128,1,        40,        47,   218547.7968750000,  4369634.0000000000,      3049,1,        39,        47,   218547.7968750000,  4369724.0000000000,0.500000000000,         0,         0
      1674,      3128,1,        40,        47,   218547.7968750000,  4369634.0000000000,      3129,1,        40,        48,   218637.7968750000,  4369634.0000000000,0.500000000000,         0,         0
      1675,      3245,1,        42,         6,   214857.7968750000,  4369454.0000000000,      3166,1,        41,         6,   214857.7968750000,  4369544.0000000000,0.500000000000,         0,         0
      1676,      3245,1,        42,         6,   214857.7968750000,  4369454.0000000000,      3246,1,        42,         7,   214947.7968750000,  4369454.0000000000,0.500000000000,         0,         0
      1677,      3246,1,        42,         7,   214947.7968750000,  4369454.0000000000,      3167,1,        41,         7,   214947.7968750000,  4369544.0000000000,0.500000000000,         0,         0
      1678,      3246,1,        42,         7,   214947.7968750000,  4369454.0000000000,      3247,1,        42,         8,   215037.7968750000,  4369454.0000000000,0.500000000000,         0,         0
      1679,      3304,1,        42,        65,   220167.7968750000,  4369454.0000000000,      3225,1,        41,        65,   220167.7968750000,  4369544.0000000000,0.333333343267,         0,         0
      1680,      3304,1,        42,        65,   220167.7968750000,  4369454.0000000000,      3303,1,        42,        64,   220077.7968750000,  4369454.0000000000,0.333333343267,         0,         0
